김응민, 두산, 0.000, 0.333, 0.333, 1.333, 1.666, 0.631, 0.10
이현석, SK, 0.000, 0.333, 0.333, 1.333, 1.666, 0.631, 0.10
김민우, KIA, 0.335, 0.260, 0.313, 0.394, 0.707, 0.310, 0.10
허웅, SK, 0.357, 0.294, 0.368, 0.353, 0.721, 0.334, 0.09
유재신, 넥센, 0.412, 0.259, 0.333, 0.333, 0.666, 0.307, 0.08
이창열, 한화, 0.500, 0.500, 0.500, 1.000, 1.500, 0.605, 0.06
박노민, 한화, 0.615, 0.333, 0.385, 0.333, 0.718, 0.336, 0.06
이정식, 삼성, 0.500, 0.400, 0.400, 0.400, 0.800, 0.360, 0.04
양원혁, LG, 0.500, 0.500, 0.500, 0.500, 1.000, 0.450, 0.03
홍성갑, 넥센, 0.600, 0.333, 0.400, 0.333, 0.733, 0.346, 0.02
김민준, 넥센, 0.000, 0.000, 0.500, 0.000, 0.500, 0.381, 0.02
최정민, SK, 0.400, 0.308, 0.357, 0.308, 0.665, 0.312, 0.01
하주석, 한화, 0.500, 0.300, 0.364, 0.300, 0.664, 0.315, 0.01
강지광, 넥센, 0.556, 0.278, 0.381, 0.278, 0.659, 0.322, 0.01
홍성흔, 두산, 0.306, 0.262, 0.362, 0.372, 0.734, 0.336, 0.01
홍명찬, SK, 1.000, 0.333, 0.333, 0.333, 0.666, 0.300, 0.00
이대수, SK, 0.354, 0.264, 0.325, 0.389, 0.714, 0.317, 0.00
김재환*, 두산, 0.266, 0.235, 0.335, 0.425, 0.760, 0.333, 0.00
김진형, 두산, 0.200, 0.167, 0.286, 0.444, 0.730, 0.314, 0.00
허정협, 넥센, 0.667, 0.333, 0.333, 0.333, 0.666, 0.300, -0.01
나성용, LG, 0.415, 0.274, 0.329, 0.425, 0.754, 0.331, -0.01
김연훈, SK, 0.357, 0.267, 0.338, 0.333, 0.671, 0.309, -0.01
김재현, 넥센, 0.320, 0.262, 0.290, 0.354, 0.644, 0.282, -0.01
장운호, 한화, 0.318, 0.254, 0.346, 0.342, 0.688, 0.318, -0.01
이창섭, NC, 0.000, 0.000, 0.375, 0.000, 0.375, 0.286, -0.01
이진석, SK, 1.000, 0.500, 0.500, 0.500, 1.000, 0.450, -0.02
유민상, 두산, 0.310, 0.263, 0.356, 0.368, 0.724, 0.330, -0.02
오윤석, 롯데, 0.333, 0.273, 0.314, 0.394, 0.708, 0.312, -0.03
황대인, KIA, 0.417, 0.273, 0.273, 0.455, 0.728, 0.305, -0.03
윤도경, kt, 0.333, 0.250, 0.250, 0.250, 0.500, 0.225, -0.03
박성준, LG, 0.222, 0.200, 0.333, 0.200, 0.533, 0.277, -0.03
조홍석, 롯데, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.03
조정원, 한화, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.03
최영진, 두산, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.03
박정진(타자), 한화, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.03
권혁(타자), 한화, -, 0.000, 0.000, 0.000, 0.000, 0.000, -0.03
스틴슨(타자), KIA, -, 0.000, 0.000, 0.000, 0.000, 0.000, -0.03
