3.22,13:00,kt,1:8,KIA, 한기주, 김원섭, 김주형, 이범호, 김호령, 김민우, 김주찬, 박진두, 황대인, 윤정우, 필, 한승택, 오준혁, 윤완주, 김다원, 백용환, 이호신, 나지완, None, None, 피노, 김상현, 배병옥, 강승훈, 마르테, 박기혁, 김민혁, 문상철, 박경수, 심우준, 이대형, 김종민, 김동명, 김사연, 하준호, 김연훈, None, None, None, None
3.22,13:00,LG,5:7,삼성, 장원삼, 발디리스, 이흥련, 최형우, 이승엽, 박한이, 김재현, 구자욱, 박해민, 성의준, 배영섭, 이지영, 백상원, 김상수, 이영욱, None, None, None, None, None, 우규민, 양석환, 이병규, 정상호, 임훈, 서상우, 황목치승, 히메네스, 손주인, 강승호, 안익훈, 박용택, 채은성, 정주현, 이병규, 유강남, 이천웅, None, None, None
3.22,13:00,롯데,0:5,넥센, 김상수, 장시윤, 김하성, 박정음, 윤석민, 임병욱, 김재현, 이택근, 대니돈, 김지수, 박동원, 서건창, 김민성, 장영석, 서동욱, None, None, None, None, None, 박세웅, 안중열, 이우민, 아두치, 최준석, 박종윤, 김대륙, 강민호, 오승택, 정훈, 오현근, 손아섭, 황재균, 김대우, 손용석, 김문호, None, None, None, None
3.22,13:00,SK,5:1,두산, 유희관, 에반스, 양의지, 최주환, 김재호, 김동한, 박건우, 오재원, 박세혁, 류지혁, 서예일, 정수빈, 이우성, None, None, None, None, None, None, None, 김광현, 유서준, 최정, 박정권, 최정민, 이진석, 이대수, 이현석, 정의윤, 최승준, 이재원, 김성현, 김강민, 김재현, 이명기, 박재상, None, None, None, None
3.24,13:00,kt,5:3,한화, 송창식, 로사리오, 장민석, 차일목, 김태균, 김경언, 이성열, 하주석, 강경학, 이용규, 허도환, 오선진, 정근우, 최진행, None, None, None, None, None, None, 엄상백, 김동명, 윤요섭, 김상현, 김사연, 박기혁, 문상철, 심우준, 하준호, 이대형, 김연훈, None, None, None, None, None, None, None, None, None
3.24,13:00,NC,3:0,SK, 세든, 유서준, 최정민, 이대수, 고메즈, 정의윤, 최승준, 이재원, 김기현, 김성현, 김강민, 김재현, 이명기, 박재상, None, None, None, None, None, None, 이태양, 이종욱, 지석훈, 손시헌, 박석민, 이재율, 용덕한, 조영훈, 김성욱, 테임즈, 나성범, 강민국, 김태군, 김종호, 박민우, 이호준, None, None, None, None
3.24,13:00,두산,8:3,삼성, 정인욱, 최선호, 발디리스, 이흥련, 최형우, 이정식, 김정혁, 이승엽, 박한이, 김재현, 박해민, 성의준, 이성규, 배영섭, 우동균, 김상수, 이영욱, None, None, None, 장원준, 에반스, 김재호, 박세혁, 서예일, 류지혁, 최용제, 오재일, 허경민, 정수빈, 정진호, 양의지, 최주환, 김동한, 박건우, 오재원, 민병헌, 이우성, None, None
3.24,13:00,넥센,2:6,LG, 이준형, 양석환, 서상우, 황목치승, 손주인, 강승호, 안익훈, 채은성, 정주현, 윤진호, 이병규, 김용의, 유강남, 이천웅, None, None, None, None, None, None, 피어밴드, 장시윤, 김하성, 박정음, 윤석민, 고종욱, 김재현, 홍성갑, 이택근, 대니돈, 김지수, 채태인, 서건창, 김민성, 장영석, 서동욱, None, None, None, None
3.24,17:30,KIA,13:13,롯데, 김원중, 문규현, 이우민, 아두치, 최준석, 김대륙, 박종윤, 강민호, 김재유, 오승택, 오현근, 박헌도, 손아섭, 황재균, 이여상, 손용석, 김문호, None, None, None, 임준혁, 김원섭, 이범호, 김호령, 김민우, 윤정우, 필, 이홍구, 한승택, 오준혁, 박찬호, 윤완주, 최병연, 김다원, 이호신, 나지완, None, None, None, None
3.26,13:00,롯데,0:11,kt, 정대현, 배병옥, 유한준, 강승훈, 마르테, 박기혁, 김민혁, 문상철, 심우준, 이진영, 김종민, 김동명, 윤요섭, 김사연, 하준호, 김연훈, 정주후, None, None, None, 린드블럼, 문규현, 최준석, 박종윤, 김대륙, 강민호, 김재유, 오승택, 정훈, 오현근, 박헌도, 손아섭, 황재균, 김대우, 이여상, 김주현, 손용석, 김문호, None, None
3.26,13:00,NC,7:5,넥센, 최원태, 주효상, 장시윤, 김하성, 박정음, 고종욱, 윤석민, 임병욱, 홍성갑, 이택근, 대니돈, 김지수, 채태인, 박동원, 서건창, 김민성, 장영석, 서동욱, None, None, 해커, 이종욱, 지석훈, 손시헌, 조평호, 박석민, 이재율, 용덕한, 김준완, 김성욱, 테임즈, 나성범, 강민국, 김태군, 김종호, 박민우, 황윤호, 이호준, None, None
3.26,13:00,두산,4:4,LG, 소사, 양석환, 이병규, 정성훈, 임훈, 서상우, 히메네스, 강승호, 안익훈, 박용택, 채은성, 정주현, 이병규, 이형종, 유강남, 이천웅, None, None, None, None, 니퍼트, 양의지, 최주환, 김재호, 박건우, 오재원, 류지혁, 민병헌, 오재일, 허경민, 정수빈, None, None, None, None, None, None, None, None, None
3.26,13:00,SK,2:5,삼성, 웹스터, 최선호, 발디리스, 최형우, 이승엽, 박한이, 조동찬, 김재현, 박해민, 구자욱, 배영섭, 이지영, 우동균, 백상원, None, None, None, None, None, None, 윤희상, 유서준, 박정권, 최정민, 이진석, 이대수, 임석진, 김민식, 고메즈, 정의윤, 최승준, 이재원, 김기현, 김성현, 조동화, 김강민, 박재상, None, None, None
3.26,17:00,한화,1:3,KIA, 헥터, 김주형, 김원섭, 김다원, 김호령, 백용환, 필, 이호신, 오준혁, 박찬호, 윤완주, 나지완, None, None, None, None, None, None, None, None, 김재영, 로사리오, 신성현, 장민석, 김태균, 김경언, 이성열, 오선진, 하주석, 정근우, 최진행, 조인성, None, None, None, None, None, None, None, None
3.9,13:00,LG,3:0,KIA, 김윤동, 최병연, 김주형, 김호령, 김다원, 백용환, 김민우, 윤정우, 이홍구, 오준혁, 윤완주, 나지완, 최원준, None, None, None, None, None, None, None, 소사, 양석환, 최경철, 서상우, 황목치승, 강승호, 장준원, 안익훈, 채은성, 정주현, 문선재, 이형종, 김용의, 유강남, 백창수, 이천웅, None, None, None, None
3.9,13:00,두산,4:2,kt, 피노, 오정복, 윤요섭, 배병옥, 김사연, 김민혁, 문상철, 심우준, 김영환, 하준호, 김종민, 남태혁, 김연훈, None, None, None, None, None, None, None, 허준혁, 에반스, 김재호, 고영민, 국해성, 박세혁, 류지혁, 서예일, 오재일, 조수행, 정수빈, 최재훈, 김재환, 최주환, 이우성, None, None, None, None, None
3.9,13:00,SK,2:3,롯데, 린드블럼, 문규현, 이우민, 아두치, 최준석, 박종윤, 김준태, 김재유, 김상호, 정훈, 손아섭, 황재균, 손용석, 김주현, None, None, None, None, None, None, 박민호, 유서준, 최정, 박정권, 이대수, 이현석, 고메즈, 김동엽, 정의윤, 최승준, 이재원, 김성현, 조동화, 김강민, 김재현, 이명기, None, None, None, None
3.9,13:00,삼성,10:1,NC, 해커, 강민국, 나성범, 지석훈, 박민우, 조평호, 이재율, 윤병호, 박광열, 김준완, 조영훈, 김성욱, 김민욱, None, None, None, None, None, None, None, 이케빈, 최선호, 발디리스, 최형우, 이정식, 이승엽, 박한이, 김재현, 박계범, 최민구, 나성용, 구자욱, 박해민, 성의준, 백상원, 김상수, 이영욱, None, None, None
3.9,13:00,넥센,1:3,한화, 김재영, 허도환, 김태균, 이성열, 장운호, 강경학, 정근우, 김원석, 이용규, 최진행, 주현상, 이창열, 조인성, None, None, None, None, None, None, None, 하영민, 장시윤, 박정음, 허정협, 윤석민, 임병욱, 고종욱, 김재현, 송성문, 홍성갑, 지재옥, 대니돈, 강지광, 서건창, 장영석, 김민성, 유재신, 박윤, None, None
3.11,13:00,LG,4:3,NC, 이민호, 이종욱, 지석훈, 손시헌, 박석민, 용덕한, 이재율, 윤병호, 박광열, 김준완, 조영훈, 김성욱, 테임즈, 나성범, 강민국, 김태군, 김종호, 박민우, 이호준, None, 윤지웅, 정성훈, 정상호, 임훈, 황목치승, 서상우, 히메네스, 손주인, 강승호, 장준원, 안익훈, 박용택, 이병규, 이형종, 김용의, 유강남, 이천웅, None, None, None
3.11,13:00,삼성,2:1,롯데, 고원준, 문규현, 이우민, 아두치, 최준석, 박종윤, 김준태, 오승택, 정훈, 손아섭, 황재균, 이여상, 손용석, 김주현, 김문호, None, None, None, None, None, 벨레스터, 배영섭, 이지영, 발디리스, 백상원, 김상수, 이영욱, 김재현, 나성용, 구자욱, 박해민, 성의준, None, None, None, None, None, None, None, None
3.13,13:00,LG,3:6,롯데, 차재용, 문규현, 이우민, 아두치, 박종윤, 김대륙, 김준태, 오승택, 박헌도, 손아섭, 황재균, 이여상, 김주현, 김문호, None, None, None, None, None, None, 이준형, 최경철, 정상호, 임훈, 황목치승, 손주인, 히메네스, 강승호, 안익훈, 박용택, 이병규, 이형종, 김용의, 유강남, None, None, None, None, None, None
3.13,13:00,두산,8:11,NC, 스튜어트, 이종욱, 지석훈, 손시헌, 박석민, 윤병호, 용덕한, 조영훈, 김성욱, 테임즈, 나성범, 강민국, 김태군, 김종호, 박민우, 이호준, None, None, None, None, 장원준, 에반스, 김재호, 국해성, 류지혁, 오재일, 허경민, 홍성흔, 정수빈, 양의지, 최주환, 박건우, 오재원, 민병헌, 이우성, None, None, None, None, None
