이태양, 한화, 0.310, 73.8, 4.97, 2.55, 6.17, 6.46, 0.26
홍성용, kt, 0.374, 73.3, 6.02, 1.45, 6.10, 6.18, 0.25
심동섭, KIA, 0.339, 63.5, 6.45, 0.42, 5.76, 5.73, 0.24
김택형, 넥센, 0.438, 59.6, 7.62, -0.38, 5.24, 4.67, 0.23
이준형, LG, 0.335, 62.0, 6.18, 0.84, 5.56, 5.94, 0.23
피노, kt, 0.406, 59.7, 7.15, -0.19, 5.41, 5.61, 0.23
서진용, SK, 0.324, 67.9, 4.72, 0.44, 4.47, 4.07, 0.22
정대훈, 한화, 0.341, 63.2, 4.89, 0.59, 4.23, 4.22, 0.22
안규영, 두산, 0.396, 70.2, 6.61, 0.37, 6.18, 6.53, 0.21
김현우, 삼성, 0.365, 82.7, 3.48, 0.49, 4.71, 4.46, 0.21
전유수, SK, 0.355, 66.2, 5.14, -0.33, 4.95, 4.85, 0.19
임찬규, LG, 0.303, 64.8, 6.51, 0.55, 6.26, 6.38, 0.19
이용찬*, 두산, 0.333, 71.4, 2.70, 0.22, 2.29, 2.06, 0.18
김건한, 삼성, 0.250, 69.0, 3.72, 0.32, 4.93, 4.95, 0.18
고원준, 두산, 0.387, 72.4, 5.47, 0.54, 5.09, 5.10, 0.17
송창현, 한화, 0.310, 60.0, 5.06, 0.24, 3.42, 3.13, 0.17
최원재, kt, 0.407, 47.9, 8.68, -0.08, 4.11, 3.61, 0.17
송신영, 한화, 0.426, 74.2, 5.02, 0.14, 4.35, 4.53, 0.16
조무근, kt, 0.432, 63.4, 8.61, 0.75, 6.20, 6.30, 0.16
김대우, 삼성, 0.329, 71.0, 5.05, 1.51, 5.34, 5.52, 0.16
금민철, 넥센, 0.362, 69.4, 5.13, 0.27, 4.70, 4.82, 0.16
이창재, kt, 0.347, 72.4, 5.13, 0.71, 5.11, 4.88, 0.14
배재환, NC, 0.246, 61.0, 4.09, 0.41, 4.25, 4.28, 0.13
문승원, SK, 0.361, 66.5, 6.64, 0.09, 6.40, 6.44, 0.13
